方案	縣市	學校名稱	年份
POC	雲林縣	光復國小	2018
POC	雲林縣	新生國小	2018
POC	嘉義縣	柳林國小	2018
POC	嘉義縣	美林國小	2018
POC	嘉義縣	東石國小	2018
大學生計畫	彰化縣	王功國小	2018
大學生計畫	彰化縣	西港國小	2018
普及方案	苗栗縣	烏眉國小	2019
普及方案	苗栗縣	後龍國小	2019
普及方案	苗栗縣	中正國小	2019
普及方案	苗栗縣	通霄國小	2019
普及方案	苗栗縣	城中國小	2019
普及方案	苗栗縣	造橋國中	2019
普及方案	苗栗縣	林森國小	2019
普及方案	苗栗縣	客庄國小	2019
普及方案	苗栗縣	栗林國小	2019
普及方案	苗栗縣	后庄國小	2019
普及方案	苗栗縣	竹南國小	2019
普及方案	苗栗縣	蕉埔國小	2019
普及方案	苗栗縣	苑裡國小	2019
普及方案	苗栗縣	中和國小	2019
普及方案	苗栗縣	僑樂國小	2019
普及方案	嘉義縣	南新國小	2019
普及方案	嘉義縣	大鄉國小	2019
普及方案	嘉義縣	祥和國小	2019
普及方案	嘉義縣	雙溪國小	2019
普及方案	嘉義縣	民雄國小	2019
普及方案	嘉義縣	香林國小	2019
普及方案	嘉義縣	六美國小	2019
普及方案	嘉義縣	大崎國小	2019
普及方案	嘉義縣	興中國小	2019
普及方案	嘉義縣	松山國小	2019
普及方案	嘉義縣	三江國小	2019
普及方案	嘉義縣	北回國小	2019
普及方案	嘉義縣	六腳國小	2019
普及方案	嘉義縣	大林國中	2019
普及方案	嘉義縣	鹿滿國小	2019
普及方案	嘉義縣	新塭國小	2019
普及方案	嘉義縣	大南國小	2019
普及方案	嘉義縣	重寮國小	2019
普及方案	嘉義縣	南興國小	2019
普及方案	嘉義縣	瑞峰國小	2019
普及方案	嘉義縣	來吉國小	2019
普及方案	嘉義縣	梅圳國小	2019
教學創新方案	花蓮縣	花崗國中	2019
教學創新方案	臺東縣	康樂國小	2019
教學創新方案	新北市	漳和國中	2019
教學創新方案	桃園市	楊心國小	2019
教學創新方案	苗栗縣	通霄國中	2019
教學創新方案	新竹市	關東國小	2019
教學創新方案	臺中市	大同國小	2019
精進方案	雲林縣	光復國小	2019
精進方案	雲林縣	新生國小	2019
精進方案	嘉義縣	柳林國小	2019
精進方案	嘉義縣	美林國小	2019
